claim_id,page,proposition,cited_case,retrieved_case,supporting_language,assessment,cl_url,cl_status,diagnostics,opinion_file,syllabus,quoted_text,quote_check,quote_check_worst,brief_sentence,quote_floor,crosscheck_flags,triage_track,prescreen_hint,support,badge_label,brief_block,opinion_block,finding_analysis,assessed_by
withers-01,48,Courts have consistently recognized that the purpose of the rules governing conflicts of interest is not only to protect the interests of clients but also to maintain the integrity of the judicial process.,"Nix v. Whiteside, 475 U.S. 157, 166 (1986).",,,Yellow,https://www.courtlistener.com/opinion/111603/nix-v-whiteside/,VERIFIED,,opinions/Nix_v_Whiteside.html,,[],[],NO_QUOTES,Courts have consistently recognized that the purpose of the rules governing conflicts of interest is not only to protect the interests of clients but also to maintain the integrity of the judicial process.,,,fast,,partial,Overstated -- case partially supports,Courts have consistently recognized that the purpose of the rules governing conflicts of interest is not only to protect the interests of clients but also to maintain the integrity of the judicial process.,an attorney's ethical duty to advance the interests of his client is limited by an equally solemn duty to comply with the law and standards of professional conduct; it specifically ensures that the client may not use false evidence.,"Nix v. Whiteside is a Sixth Amendment ineffective-assistance case about whether counsel violates the right to counsel by refusing to help a client present perjured testimony; its subject is the attorney's duty of candor to the tribunal, not the rules governing conflicts of interest. The opinion genuinely supports the second half of the proposition — that an attorney's obligations run not only to the client but also to the integrity of the judicial process — describing the lawyer as ""an officer of the court and a key component of a system of justice, dedicated to a search for truth"" and holding that the duty to advance client interests is ""limited by an equally solemn duty to comply with the law and standards of professional conduct.""

But the Court expressly distinguished the client-perjury ""conflict"" before it from a true conflict of interest, stating that ""this is not remotely the kind of conflict of interests dealt with in Cuyler v. Sullivan."" The brief thus recharacterizes a candor/perjury holding as a statement about the purpose of conflict-of-interest rules, a principle Nix does not articulate. The pinpoint at page 166 falls in the passage where the Court declines to define the relative weight of ethics canons and the Sixth Amendment because ""virtually all of the sources speak with one voice"" — language that does not state the cited proposition.",opus/assess-v2
withers-04,65,"The Fifth Circuit has consistently held that ""the excusable neglect standard is a strict one"" and that ""inadvertence, ignorance of the rules, or mistakes construing the rules do not usually constitute excusable neglect.""","Midwest Employers Cas. Co. v. Williams, 161 F.3d 877, 879 (5th Cir. 1998).",,,Yellow,https://www.courtlistener.com/opinion/759537/midwest-employers-casualty-co-plaintiff-appellant-appellee-v-jo-ann/,VERIFIED,,opinions/MIDWEST_EMPLOYERS_CASUALTY_CO_Plaintiff-Appellant-Appellee_v_Jo_Ann_WILLIAMS_Defendant-Appellee-Appellant.html,,"[""the excusable neglect standard is a strict one"", ""inadvertence, ignorance of the rules, or mistakes construing the rules do not usually constitute excusable neglect.""]","[{""quote"": ""the excusable neglect standard is a strict one"", ""result"": ""CLOSE"", ""similarity"": 0.64, ""matched_passage"": ""We remain mindful of the \u201cexcusable neglect\u201d standard set forth by Pioneer Investment Services Co. v. Brunsunck Associates Limited Partnership, 507 U.S.""}, {""quote"": ""inadvertence, ignorance of the rules, or mistakes construing the rules do not usually constitute excusable neglect."", ""result"": ""FABRICATED"", ""similarity"": 0.45, ""matched_passage"": ""eral Rule of Civil Procedure 6(e) 5 to apply to judgments served by mail and mistakenly believed he had three extra days to file the motion for a new trial. According to the magistrate, the misreading of Rule 6(e) constituted \u201cexcusable neglect\u201d for purposes of Rule 4(a)(5).""}]",FABRICATED,"The Fifth Circuit has consistently held that ""the excusable neglect standard is a strict one"" and that ""inadvertence, ignorance of the rules, or mistakes construing the rules do not usually constitute excusable neglect.""",Yellow,,full,,supported,Quote not found in opinion,"The Fifth Circuit has consistently held that ""the excusable neglect standard is a strict one"" and that ""inadvertence, ignorance of the rules, or mistakes construing the rules do not usually constitute excusable neglect.""","Where, as here, the rule at issue is unambiguous, a district court's determination that the neglect was inexcusable is virtually unassailable. [...] The nature of this very mistake ""weighs heavily against a finding of excusable neglect.""","The opinion substantively supports the proposition: it holds that counsel's misreading of an unambiguous procedural rule (Rule 6(e)) does not constitute excusable neglect under Appellate Rule 4(a)(5), describing such a determination as ""virtually unassailable"" and the mistake as weighing ""heavily against a finding of excusable neglect,"" while leaving open only the ""rare case"" in which a rule misinterpretation might qualify. The core principle the brief draws — that the standard is applied strictly and that mistakes construing the rules usually do not amount to excusable neglect — tracks the opinion's reasoning and its reversal of the magistrate's extension.

Neither quoted string, however, appears anywhere in the opinion. The language ""inadvertence, ignorance of the rules, or mistakes construing the rules do not usually constitute excusable neglect"" is the Supreme Court's formulation from Pioneer, and this opinion quotes only Pioneer's equitable-factors passage, not that line; the phrase ""the excusable neglect standard is a strict one"" likewise does not appear. The substance is sound, but the brief presents fabricated quotations as though they were drawn from this case.",opus/assess-v2
withers-05,65,The Fifth Circuit has consistently held that delays within a party's control do not constitute excusable neglect.,"Silvercreek Mgmt., Inc. v. Banc of Am. Sec., LLC, 534 F.3d 469, 472 (5th Cir. 2008).",,,Yellow,https://www.courtlistener.com/opinion/62901/silvercreek-management-inc-v-banc-of-america-securities-llc/,VERIFIED,,opinions/Silvercreek_Management_Inc_v_Banc_of_America_Securities_LLC.html,,[],[],NO_QUOTES,The Fifth Circuit has consistently held that delays within a party's control do not constitute excusable neglect.,,,fast,,partial,Overstated -- case partially supports,The Fifth Circuit has consistently held that delays within a party's control do not constitute excusable neglect.,"The district court did not abuse its discretion in refusing to extend the opt-out date, because it considered Silvercreek's proffered evidence and determined that counsel's performance fell below the threshold required for neglect to be excusable.","Silvercreek is directly on point as to excusable neglect: applying the Pioneer factors, the Fifth Circuit affirmed the district court's refusal to extend an opt-out deadline because the delay was attributable to counsel's own failure to track a deadline it had notice of — a delay squarely within the party's control. That substance lends real support to the brief's proposition.

The brief nonetheless overstates the holding. This is a single decision reviewed for abuse of discretion and resting on case-specific facts (counsel received the order, should have noticed the blank opt-out date, and could have inquired), not a categorical rule that the court has ""consistently held."" Indeed, the opinion cuts against treating excusable neglect as mechanical: it notes that ""Silvercreek incorrectly contends that the district court must rigorously apply each of these factors in every case,"" emphasizing a discretionary, multi-factor analysis. Recasting that fact-bound, deferential ruling as a consistently-held categorical principle extends the case beyond what it decided.",opus/assess-v2
withers-06,65,"Wilkens involved unique circumstances not present here, including a pro se litigant and confusion regarding the application of the prison mailbox rule.","Wilkens v. Johnson, 238 F.3d 328 (5th Cir. 2001).",,,Red,https://www.courtlistener.com/opinion/22781/wilkens-v-johnson/,VERIFIED,,opinions/Wilkens_v_Johnson.html,,[],[],NO_QUOTES,"Wilkens involved unique circumstances not present here, including a pro se litigant and confusion regarding the application of the prison mailbox rule.",,,fast,,unsupported,Not supported by cited case,"Wilkens involved unique circumstances not present here, including a pro se litigant and confusion regarding the application of the prison mailbox rule.","counsel for Wilkens avers that he never received a copy until, at the request of the staff attorney for the district court, a copy was ""faxed"" to him by the court on September 7, 1999. ... Then as now, counsel of record for Wilkens was Mark W. Breding, Esq., Tyler, Texas.","The brief attributes two specific circumstances to Wilkens that the opinion does not support. First, Wilkens was not a pro se litigant: the opinion refers throughout to ""counsel for Wilkens,"" ""Wilkens's lawyer,"" and ""counsel of record,"" and a footnote names his attorney as Mark W. Breding, Esq. The pro se characterization is affirmatively contradicted by the text.

Second, the opinion has nothing to do with the prison mailbox rule. The case turns entirely on Federal Rule of Appellate Procedure 4(a) — specifically whether a faxed copy of the judgment received in hand by counsel triggered subpart (A)'s seven-day window to file a Rule 4(a)(6) motion to reopen the time for a notice of appeal. The court never discusses, applies, or expresses confusion about the prison mailbox rule (the doctrine deeming a pro se prisoner's filing complete on delivery to prison officials). Because both of the asserted ""unique circumstances"" are absent from — and in the case of pro se status, contradicted by — the opinion, the proposition is unsupported.",opus/assess-v2
withers-07,72,"Summary judgment is a procedural tool designed to secure the ""just, speedy and inexpensive determination of every action.","Celotex Corp. v. Catrett, 477 U.S. 317, 327 (1986).",,,Green,https://www.courtlistener.com/opinion/111722/celotex-corp-v-catrett-administratrix-of-the-estate-of-catrett/,VERIFIED,,opinions/Celotex_Corp_v_Catrett_Administratrix_of_the_Estate_of_Catrett.html,,[],[],NO_QUOTES,"Summary judgment is a procedural tool designed to secure the ""just, speedy and inexpensive determination of every action.",,,fast,,supported,Supported,"Summary judgment is a procedural tool designed to secure the ""just, speedy and inexpensive determination of every action.","Summary judgment procedure is properly regarded not as a disfavored procedural shortcut, but rather as an integral part of the Federal Rules as a whole, which are designed ""to secure the just, speedy and inexpensive determination of every action."" Fed. Rule Civ. Proc. 1","The opinion at page 327 supports this proposition, characterizing summary judgment as an integral part of the Federal Rules, which are designed ""to secure the just, speedy and inexpensive determination of every action,"" so the brief's framing of summary judgment as a procedural tool serving that purpose is accurate. The brief compresses the opinion slightly — the opinion attributes that design to the Federal Rules ""as a whole"" and places summary judgment within them, rather than saying summary judgment alone was designed for that end — but this is a fair and substantively accurate characterization, and the quoted phrase matches the opinion verbatim.",opus/assess-v2
withers-09,72,"Deemed admissions are ""judicial admissions"" that are binding on the party and cannot be contradicted at trial or on a motion for summary judgment.","American Auto. Ass'n v. AAA Legal Clinic of Jefferson Crooke, 930 F.2d 1117, 1120 (5th Cir. 1991).",,,Yellow,https://www.courtlistener.com/opinion/8997446/american-automobile-assn-v-aaa-legal-clinic-of-jefferson-crooke-pc/,VERIFIED,,opinions/American_Automobile_Ass_n_v_AAA_Legal_Clinic_of_Jefferson_Crooke_P_C.html,,"[""judicial admissions""]","[{""quote"": ""judicial admissions"", ""result"": ""CLOSE"", ""similarity"": 0.64, ""matched_passage"": ""urt and the Legal Clinic to support the court\u2019s exercise of discretion involved modification of an admission once the trial had been complet *1121 ed.""}]",CLOSE,"Deemed admissions are ""judicial admissions"" that are binding on the party and cannot be contradicted at trial or on a motion for summary judgment.",Yellow,,full,,supported,Reworded -- not a verbatim quote,"Deemed admissions are ""judicial admissions"" that are binding on the party and cannot be contradicted at trial or on a motion for summary judgment.","In form and substance a Rule 36 admission is comparable to an admission in pleadings or a stipulation drafted by counsel for use at trial, rather than to an evidentiary admission of a party.... An admission that is not withdrawn or amended cannot be rebutted by contrary testimony or ignored by the district court simply because it finds the evidence presented by the party against whom the admission operates more credible.... This conclusive effect applies equally to those admissions made affirmatively and those established by default.","The opinion substantively supports the proposition: it holds that Rule 36 admissions are ""conclusively established,"" that an admission ""cannot be rebutted by contrary testimony or ignored by the district court,"" and that this conclusive effect ""applies equally to those admissions made affirmatively and those established by default"" -- i.e., deemed admissions bind the party and cannot be contradicted. The opinion's characterization that such an admission is ""comparable to an admission in pleadings or a stipulation... rather than to an evidentiary admission of a party"" is the substance behind labeling them ""judicial admissions.""

Two caveats keep this short of a clean quote match. The opinion never uses the literal phrase ""judicial admissions"" (hence the close/reworded quote), and because the case arose after a completed bench trial it does not itself mention summary judgment -- though the conclusive-effect language it states is general and not trial-specific, so the brief's reference to summary judgment is a routine application rather than a misstatement.",opus/assess-v2
withers-10,72,"""Admissions obtained under Rule 36, including those deemed admitted through a party's failure to respond, can form the basis for summary judgment.""","Donovan v. Carls Drug Co., 703 F.2d 650, 652 (2d Cir. 1983).",,,Yellow,https://www.courtlistener.com/opinion/8926873/donovan-v-carls-drug-co/,VERIFIED,,opinions/Donovan_v_Carls_Drug_Co.html,,"[""Admissions obtained under Rule 36, including those deemed admitted through a party's failure to respond, can form the basis for summary judgment.""]","[{""quote"": ""Admissions obtained under Rule 36, including those deemed admitted through a party's failure to respond, can form the basis for summary judgment."", ""result"": ""FABRICATED"", ""similarity"": 0.41, ""matched_passage"": ""Notice was served and an answer filed. In May of 1981, the Secretary filed a Request for Admission of Facts under Federal Rule of Civil Procedure 36(a). These issues are deemed admitted unless a response or objection is filed within thirty days after service of the request, though not sooner than forty-five days after service of the summons and complaint.""}]",FABRICATED,"""Admissions obtained under Rule 36, including those deemed admitted through a party's failure to respond, can form the basis for summary judgment.""",Yellow,,full,,supported,Paraphrase presented as direct quote,"Admissions obtained under Rule 36, including those deemed admitted through a party's failure to respond, can form the basis for summary judgment.",Carls has plainly made Rule 36(a) admissions. These may be used for Rule 56 summary judgment.,"The opinion directly supports the proposition: Carls' Rule 36(a) admissions arose precisely because it ""failed to respond to the request,"" and the court holds those admissions ""may be used for Rule 56 summary judgment,"" affirming the grant of summary judgment on that basis. The substance is squarely on point. The defect is presentational only — the entire sentence is offered as a verbatim quotation (and flagged FABRICATED), but no such sentence appears in the opinion; it is the brief's own paraphrase of the court's much shorter holding.",opus/assess-v2
withers-11,72,The Fifth Circuit has consistently upheld summary judgments based on deemed admissions.,"See, e.g., In re Carney, 258 F.3d 415, 420 (5th Cir. 2001).",,,Green,https://www.courtlistener.com/opinion/24795/carney-v-internal-revenue-service/,VERIFIED_PARTIAL,"The citation resolved in CourtListener's index, but no case name was available to compare (no name parsed from the citation). The cited case is unconfirmed — treat as partial verification.; citation resolved; no case name available to compare",opinions/Carney_v_Internal_Revenue_Service.html,,[],[],NO_QUOTES,The Fifth Circuit has consistently upheld summary judgments based on deemed admissions.,,,fast,,supported,Supported,The Fifth Circuit has consistently upheld summary judgments based on deemed admissions.,,"In re Carney is itself a Fifth Circuit decision affirming summary judgment based on a Rule 36 deemed admission, and it notes that ""this Court has affirmed a grant of summary judgment based on default admissions coupled with a district court's denial of a request to withdraw those admissions,"" citing Dukes; the opinion fairly grounds the brief's use of the case as a ""See, e.g."" example of the Fifth Circuit upholding such judgments.",opus/assess-v2
withers-12,81,(1) Rule 36 is self-executing: the City's failure to timely serve written answers results in conclusive judicial admissions. The Fifth Circuit recognizes that deemed admissions are judicial admissions that may not be contradicted and can alone support summary judgment. (2) Admissions are binding and cannot be contradicted to avoid summary judgment.,"American Auto. Ass'n v. AAA Legal Clinic of Jefferson Crooke, 930 F.2d 1117, 1120 (5th Cir. 1991).",,,Yellow,https://www.courtlistener.com/opinion/8997446/american-automobile-assn-v-aaa-legal-clinic-of-jefferson-crooke-pc/,VERIFIED,,opinions/American_Automobile_Ass_n_v_AAA_Legal_Clinic_of_Jefferson_Crooke_P_C.html,,[],[],NO_QUOTES,(1) Rule 36 is self-executing: the City's failure to timely serve written answers results in conclusive judicial admissions. The Fifth Circuit recognizes that deemed admissions are judicial admissions that may not be contradicted and can alone support summary judgment. (2) Admissions are binding and cannot be contradicted to avoid summary judgment.,,,fast,,partial,Overstated -- case partially supports,Rule 36 is self-executing: the City's failure to timely serve written answers results in conclusive judicial admissions. The Fifth Circuit recognizes that deemed admissions are judicial admissions that may not be contradicted and can alone support summary judgment. [...] Admissions are binding and cannot be contradicted to avoid summary judgment.,"Each matter on which an admission has been requested is admitted unless the party to whom the request is directed responds with a written answer or objection.... This conclusive effect applies equally to those admissions made affirmatively and those established by default, even if the matters admitted relate to material facts that defeat a party's claim.","The opinion supports the self-executing and binding aspects of the proposition: a matter is ""admitted unless the party... responds with a written answer or objection,"" admissions are ""conclusively established,"" and they ""cannot be rebutted by contrary testimony or ignored by the district court"" -- with this conclusive effect applying to admissions ""established by default"" even where they ""relate to material facts that defeat a party's claim.""

The brief overstates the case, however, when it invokes this authority for the propositions that deemed admissions ""can alone support summary judgment"" and ""cannot be contradicted to avoid summary judgment."" This case arose after a completed bench trial and addresses sua sponte post-trial withdrawal of admissions; it never discusses summary judgment or whether admissions alone suffice to grant it. Those summary-judgment-specific assertions extend the holding to a procedural posture the opinion did not decide, which is why the support is partial rather than full.",opus/assess-v2
withers-13,81,"(1) The admissions establish every element for judgment. (2) The Fifth Circuit recognizes that deemed admissions are judicial admissions that may not be contradicted and can alone support summary judgment. (3) Deemed admissions are ""not mere evidence; they are conclusive judicial admissions"" and are fully competent to support summary judgment.","Donovan v. Carls Drug Co., 703 F.2d 650, 652 (2d Cir. 1983).",,,Yellow,https://www.courtlistener.com/opinion/8926873/donovan-v-carls-drug-co/,VERIFIED,,opinions/Donovan_v_Carls_Drug_Co.html,,"[""not mere evidence; they are conclusive judicial admissions""]","[{""quote"": ""not mere evidence; they are conclusive judicial admissions"", ""result"": ""FABRICATED"", ""similarity"": 0.47, ""matched_passage"": ""er subject to FLSA and has failed to pay its pharmacists the overtime pay clearly due to them. Our confidence in the district court\u2019s decision to rely on the admissions is reinforced by examination of Carls\u2019 work records because these suggest that""}]",FABRICATED,"(1) The admissions establish every element for judgment. (2) The Fifth Circuit recognizes that deemed admissions are judicial admissions that may not be contradicted and can alone support summary judgment. (3) Deemed admissions are ""not mere evidence; they are conclusive judicial admissions"" and are fully competent to support summary judgment.",Yellow,,full,,partial,Overstated -- case partially supports,"The admissions establish every element for judgment. The Fifth Circuit recognizes that deemed admissions are judicial admissions that may not be contradicted and can alone support summary judgment. Deemed admissions are ""not mere evidence; they are conclusive judicial admissions"" and are fully competent to support summary judgment.","Under Rule 36(b), the decision to excuse the defendant from its admissions ... is in the court's discretion.","Carls Drug is a Second Circuit FLSA decision, not a Fifth Circuit case, and it does not articulate the principle the brief attributes to ""the Fifth Circuit"" — that deemed admissions are ""conclusive judicial admissions"" that ""may not be contradicted."" The Fifth Circuit authorities the opinion does cite (Usery, Brennan, Coleman) go to the professional-employee exemption and willfulness, not to the conclusive character of admissions. The opinion supports only the narrower points that Rule 36 admissions can support summary judgment and were sufficient to establish the elements here (""It should be sufficient that Carls has admitted that it is an employer subject to FLSA and has failed to pay its pharmacists the overtime pay clearly due to them"").

The brief overstates by casting admissions as uncontradictable. The opinion holds the opposite emphasis: under Rule 36(b) ""the decision to excuse the defendant from its admissions ... is in the court's discretion,"" and the court ""may permit withdrawal"" in appropriate circumstances — undercutting the ""may not be contradicted"" framing. The quoted phrase ""not mere evidence; they are conclusive judicial admissions"" does not appear in the opinion.",opus/assess-v2
